ID,Block,Population,Tree,Acorn,Coastal_NonCoastal,Region,Distance_from_LS_in_Km,Distance_from_LS_in_mi,Latitude,Longitude,Acorn_Weight,Rooted__Yes_No_,Germited,Julian_Date_Germition,Log_Julian_Date_Germition_,X06_17_19_Height,Early_Growth_rate,X08_19_19_Height,Late_Growth_rate,Height_Growth_Rate,X06_24_19_Diameter,Early_Diameter_rate,Late_diameter_rate,Diameter_Growth_Rate,X06_17_19_Leaves,X06_24_19_Leaves,weight_g,leaf_area_cm2,SLA_cm2_g_,Log_SLA_cm2_g,Survived_Season__1_YES_,Mean_Annual_Temp,Isothermality,Temperature_Seasolity,Max_Temperature_of_Warmest_Month,Min__Temperature_of_Coldest_Month,Annual_Precipitation,Precipitation_of_Wettest_Month,Precipitation_of_Driest_Month,Precipitation_Seasolity__Coefficient_of_Variation_,Precipitation_of_Warmest_Quarter,Precipitation_of_Coldest_Quarter,Hardiness_Zone
1,1,NJ,5,13,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,5.0366,0,1,143,4.96284463,9.5,0.75,9,,-0.036363636,3.13,0.2625,-0.184,0.015454545,4,4,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
2,1,TG,2,57,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.457,1,1,138,4.927253685,10.7,0.775,10.7,,0.009090909,3.09,0.21,-0.154,0.02,3,3,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
3,1,MS,7,1,Coastal,Coastal,14.0495382,8.73,46.6952234,-92.231578,5.0563,0,1,164,5.099866428,2,,5.2,0.385714286,,0.82,,0.034,,3,6,0.0462,11.77,254.7619048,5.540329402,1,4.152458191,25.63767052,1172.005493,25.53425026,-18.87874985,775,106,19,50.02258682,311,72,4b
4,1,TG,13,21,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,5.6013,1,1,138,4.927253685,14.7,1.35,14.8,0.014285714,0.036363636,3.28,0.18,0,0.090909091,4,4,0.3401,41.82,122.9638342,4.811890281,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
5,1,FF,7,1,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,4.1132,0,1,149,5.003946306,11.7,2.725,12,0.042857143,0.8,2.19,0.17,0.034,0.103636364,4,4,0.2263,41.33,182.6336721,5.207482355,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
6,1,TG,9,7,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.4897,1,1,143,4.96284463,9.8,1.275,18,0.2,0.781818182,2.89,0.22,-0.1,0.031818182,5,8,,,,,0,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
7,1,NJ,11,3,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,4.4079,1,0,,,,,,,,,,,,,,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
8,1,NJ,4,8,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,5.0044,1,0,,,,,,,,,,,,,,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
9,1,FF,4,14,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.6383,0,1,143,4.96284463,13.1,2.35,13.5,0,0.118181818,3.16,0.225,0.004,0.066363636,4,4,0.243,50.83,209.1769547,5.343180567,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
10,1,SC,9,14,Non Coastal,Inland,76.282716,47.4,46.10411,-92.478812,4.444,0,0,,,,,,,,,,,,,,,,,,0,5.027978897,27.62866592,1176.161377,26.52449989,-18.87400055,773,107,20,48.59677124,309,77,3b
11,1,FF,3,2,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,6.5255,0,1,155,5.043425117,16.7,,17.1,0.028571429,1.209090909,2.44,0.17,0.026,0.097272727,4,3,0.2288,44.48,194.4055944,5.269946669,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
12,1,TG,2,45,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,4.4431,1,1,136,4.912654886,12.2,0.475,20.8,0,0.9,3.1,0.21,0.104,0.137272727,5,10,0.1829,44.21,241.7167851,5.487766731,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
13,1,TG,7,16,Coastal,Coastal,4.2808444,2.66,47.3368634,-91.270446,6.5923,1,1,143,4.96284463,9.3,1.025,9.6,0.014285714,0.136363636,2.5,0.1875,0,0.068181818,6,8,0.1388,31.2,224.7838617,5.415139326,1,3.205968618,27.50703049,1136.72937,24.32374954,-19.65175056,759,100,19,45.45040131,291,81,4b
14,1,FF,10,3,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.5423,0,1,155,5.043425117,13.2,,14.1,,0.963636364,2.77,0.2325,0.038,0.149090909,5,5,0.1723,28.65,166.2797446,5.113671579,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
15,1,BS,10,6,Non Coastal,Inland,82.07634,51,46.2071725,-92.819646,4.9549,1,1,138,4.927253685,9.7,1.025,17,0.3,0.654545455,3.25,0.2875,-0.074,0.052727273,4,10,,,,,0,4.672093868,27.81402397,1194.266479,26.83200073,-19.47550011,764,109,17,51.18334961,313,70,3b
16,1,NJ,5,17,Non Coastal,Inland,43.45218,27,46.4077174,-92.371857,4.5539,0,0,,,,,,,,,,,,,,,,,,0,4.456427097,27.64040565,1171.587646,26.26950073,-19.14175034,778,108,18,50.09030151,312,72,4b
17,1,JC,1,17,Coastal,Coastal,16.89807,10.5,46.642718,-92.322142,2.2917,1,1,135,4.905274778,2.2,,12,1.157142857,,0.84,,0.15,,,4,0.2283,70.98,310.9067017,5.739492873,1,4.6875,26.33461952,1158.328247,25.8864994,-18.48475075,766,107,18,49.84061813,305,71,4a
18,1,FF,4,2,Non Coastal,Inland,58.901844,36.6,46.247724,-92.3913,3.6888,0,1,155,5.043425117,9.7,,10,0.014285714,0.772727273,2.12,0.2,0.046,0.12,4,4,0.2729,48.68,178.3803591,5.183918119,1,4.502624989,28.00518799,1169.764404,26.1704998,-19.28700066,779,108,19,49.211586,311,75,3b
