Sample_Name,Total Reads,Species_Name,Region_Name,Population_Name
AA02_3,598690,Q. rubra,Coastal,AA
AA03_3,555166,Q. rubra,Coastal,AA
AA05_3,600318,Q. rubra,Coastal,AA
AA06_3,373405,Q. rubra,Coastal,AA
AA07_4,607046,Q. rubra,Coastal,AA
AA08_4,369468,Q. rubra,Coastal,AA
AA09_4,75,Q. rubra,Coastal,AA
AA10_3,499345,Q. rubra,Coastal,AA
AA12_3,482337,Q. rubra,Coastal,AA
AA14_3,487524,Q. rubra,Coastal,AA
AA16_4,284064,Q. rubra,Coastal,AA
AA17_4,482500,Q. rubra,Coastal,AA
AA18_4,611440,Q. rubra,Coastal,AA
AR01_4,362751,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR02_4,808333,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR03_3,710983,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR04_3,888688,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR05_3,495358,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR06_3,1266418,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR07_3,783230,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR09_4,805249,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR10_4,444565,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR11_3,655469,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR12_4,469868,Q. ellipsoidalis,Pin Oak - outgroup,AR
AR13_3,829724,Q. ellipsoidalis,Pin Oak - outgroup,AR
BL01_3,572045,Q. rubra,Interior,BL
BL02_3,630807,Q. rubra,Interior,BL
BL03_3,564390,Q. rubra,Interior,BL
BL05_3,561888,Q. rubra,Interior,BL
BL07_3,378244,Q. rubra,Interior,BL
BL08_3,641146,Q. rubra,Interior,BL
BL09_3,545716,Q. rubra,Interior,BL
BL10_3,458288,Q. rubra,Interior,BL
BL11_3,624330,Q. rubra,Interior,BL
BL12_3,591488,Q. rubra,Interior,BL
BL14_3,531418,Q. rubra,Interior,BL
BL15_3,543572,Q. rubra,Interior,BL
BS02_4,779301,Q. rubra,Inland,BS
BS04_3,382714,Q. rubra,Inland,BS
BS05_3,1123005,Q. rubra,Inland,BS
BS06_3,1215895,Q. rubra,Inland,BS
BS07_4,716983,Q. rubra,Inland,BS
BS08_4,612673,Q. rubra,Inland,BS
BS09_3,606506,Q. rubra,Inland,BS
BS10_4,307632,Q. rubra,Inland,BS
BS11_4,832360,Q. rubra,Inland,BS
BS14_4,561116,Q. rubra,Inland,BS
BS15_4,389743,Q. rubra,Inland,BS
CC01_3,608421,Q. rubra,Inland,CC
CC02_4,442390,Q. rubra,Inland,CC
CC03_3,640540,Q. rubra,Inland,CC
CC04_4,573247,Q. rubra,Inland,CC
CC07_3,689215,Q. rubra,Inland,CC
CC09_4,788175,Q. rubra,Inland,CC
CC11_3,422211,Q. rubra,Inland,CC
CC12_4,586164,Q. rubra,Inland,CC
CC14_4,665186,Q. rubra,Inland,CC
CC15_4,569752,Q. rubra,Inland,CC
CC16_3,917822,Q. rubra,Inland,CC
CC17_4,754249,Q. rubra,Inland,CC
CS02_4,577872,Q. rubra,Interior,CS
CS03_4,887676,Q. rubra,Interior,CS
CS04_3,683131,Q. rubra,Interior,CS
CS05_3,768466,Q. rubra,Interior,CS
CS06_3,721165,Q. rubra,Interior,CS
CS07_3,700706,Q. rubra,Interior,CS
CS08_3,703329,Q. rubra,Interior,CS
CS09_3,504625,Q. rubra,Interior,CS
CS10_4,621184,Q. rubra,Interior,CS
CS11_4,552962,Q. rubra,Interior,CS
CS12_3,754017,Q. rubra,Interior,CS
